,Idade,Genero,UF,Regiao_origem,Nivel Ensino,Area Formacao,Situacao Trabalho,Setor,Trabalha como Gestao,Cargo como Gestor(a),Cargo Atual,Nivel,Faixa Salarial,Insatisfacao com a Empresa,Tempo XP em Dados,Tempo XP em Software,Criterios de escolha trabalho,Forma de trabalho atual,Forma de trabalho desejada,Faixa Salarial_number
196,37.0,Masculino,MG,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,1.0,Supervisor/Coordenador,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,de 6 a 10 anos,de 4 a 5 anos,"Propósito do trabalho e da empresa, Plano de carreira e oportunidades de crescimento profissional, Ambiente e clima de trabalho",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),16000.0
197,32.0,Masculino,RJ,Sul,Mestrado,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Tecnologia/Fábrica de Software,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,"Falta de oportunidade de crescimento no emprego atual, O clima de trabalho/ambiente não é bom",de 4 a 5 anos,de 2 a 3 anos,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido com dias fixos de trabalho presencial,16000.0
198,31.0,Masculino,RJ,Nordeste,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Educação,1.0,Supervisor/Coordenador,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,"Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios",de 6 a 10 anos,Menos de 1 ano,"Remuneração/Salário, Flexibilidade de trabalho remoto, Propósito do trabalho e da empresa",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),8000.0
199,39.0,Masculino,SP,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Varejo,1.0,Supervisor/Coordenador,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,Mais de 10 anos,Mais de 10 anos,"Remuneração/Salário, Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% remoto,Modelo 100% remoto,16000.0
200,36.0,Masculino,SP,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 20.001/mês a R$ 25.000/mês,,Mais de 10 anos,de 4 a 5 anos,"Flexibilidade de trabalho remoto, Remuneração/Salário, Reputação que a empresa tem no mercado",Modelo 100% remoto,Modelo 100% remoto,25000.0
201,24.0,Masculino,MG,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,1.0,Team Leader/Tech Leader,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,de 2 a 3 anos,Menos de 1 ano,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",Modelo 100% remoto,Modelo 100% remoto,8000.0
202,36.0,Masculino,SP,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área da Saúde,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 20.001/mês a R$ 25.000/mês,,Mais de 10 anos,de 2 a 3 anos,"Remuneração/Salário, Ambiente e clima de trabalho, Autonomia e espaço para colocar em prática o que faz sentido e a empresa precisa. Líderes bons sabem fazer isso, dar espaço e mostrar a visão.",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),25000.0
203,33.0,Masculino,SP,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 20.001/mês a R$ 25.000/mês,"Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa, Gostaria de trabalhar em em outra área de atuação",Mais de 10 anos,de 4 a 5 anos,"Qualidade dos gestores e líderes, Remuneração/Salário, Propósito do trabalho e da empresa",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),25000.0
204,29.0,Masculino,SP,,Doutorado ou Phd,Outras Engenharias,Empregado (CLT),Indústria,1.0,Team Leader/Tech Leader,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Propósito do trabalho e da empresa",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),16000.0
205,30.0,Masculino,SP,Nordeste,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 16.001/mês a R$ 20.000/mês,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),20000.0
