,Idade,Genero,UF,Regiao_origem,Nivel Ensino,Area Formacao,Situacao Trabalho,Setor,Trabalha como Gestao,Cargo como Gestor(a),Cargo Atual,Nivel,Faixa Salarial,Insatisfacao com a Empresa,Tempo XP em Dados,Tempo XP em Software,Criterios de escolha trabalho,Forma de trabalho atual,Forma de trabalho desejada,Faixa Salarial_number
0,38.0,Masculino,CE,,Pós-graduação,Química / Física,Empregado (CLT),Marketing,1.0,Supervisor/Coordenador,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Benefícios,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,6000.0
1,39.0,Masculino,BA,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),Consultoria,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Flexibilidade de trabalho remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,8000.0
2,30.0,Masculino,SC,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,1.0,Supervisor/Coordenador,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,O clima de trabalho/ambiente não é bom,de 1 a 2 anos,de 2 a 3 anos,Oportunidade de aprendizado e trabalhar com referências na área,Modelo 100% presencial,Modelo 100% remoto,12000.0
3,38.0,Feminino,SP,,Pós-graduação,Outras,Empreendedor ou Empregado (CNPJ),Serviços,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Falta de maturidade analítica na empresa,Mais de 10 anos,Menos de 1 ano,"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Remuneração/Salário",Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,16000.0
4,36.0,Masculino,SC,,Pós-graduação,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Varejo,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,"Gostaria de trabalhar em em outra área de atuação, Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom",de 1 a 2 anos,de 4 a 5 anos,"Maturidade da empresa em termos de tecnologia e dados, Propósito do trabalho e da empresa, Remuneração/Salário",Modelo 100% presencial,Modelo 100% remoto,12000.0
5,,Masculino,SP,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),Indústria,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 8.001/mês a R$ 12.000/mês,,de 4 a 5 anos,de 1 a 2 anos,Oportunidade de aprendizado e trabalhar com referências na área,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,12000.0
6,24.0,Masculino,SC,,Estudante de Graduação,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,Team Leader/Tech Leader,,Gestor,de R$ 3.001/mês a R$ 4.000/mês,,de 1 a 2 anos,de 1 a 2 anos,"Remuneração/Salário, Propósito do trabalho e da empresa, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,4000.0
7,51.0,Masculino,SP,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,Mais de 10 anos,Mais de 10 anos,"Propósito do trabalho e da empresa, Reputação que a empresa tem no mercado, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),16000.0
8,39.0,Masculino,MG,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Setor Alimentício,1.0,Supervisor/Coordenador,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,"Falta de oportunidade de crescimento no emprego atual, Gostaria de receber mais benefícios",de 1 a 2 anos,Menos de 1 ano,"Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados",Modelo 100% presencial,Modelo 100% presencial,6000.0
9,27.0,Masculino,SP,,Pós-graduação,Outras Engenharias,Empregado (CLT),Telecomunicação,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,Gostaria de trabalhar em em outra área de atuação,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Propósito do trabalho e da empresa",Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,6000.0
10,42.0,Masculino,SP,,Mestrado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Telecomunicação,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 30.001/mês a R$ 40.000/mês,Falta de oportunidade de crescimento no emprego atual,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Reputação que a empresa tem no mercado",Modelo 100% remoto,Modelo híbrido com dias fixos de trabalho presencial,40000.0
11,45.0,Masculino,GO,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,de 2 a 3 anos,Menos de 1 ano,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,8000.0
12,40.0,Masculino,PR,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Outro,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 20.001/mês a R$ 25.000/mês,,de 4 a 5 anos,Mais de 10 anos,"Propósito do trabalho e da empresa, Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),25000.0
13,26.0,Masculino,SP,Sul,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Tecnologia/Fábrica de Software,1.0,Supervisor/Coordenador,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),6000.0
14,28.0,Masculino,MT,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Telecomunicação,1.0,Team Leader/Tech Leader,,Gestor,de R$ 3.001/mês a R$ 4.000/mês,,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),4000.0
15,43.0,Masculino,MS,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Construção Civil,1.0,Supervisor/Coordenador,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,"Falta de maturidade analítica na empresa, Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação",Menos de 1 ano,de 6 a 10 anos,"Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário",Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),12000.0
16,27.0,Masculino,DF,Sudeste,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Setor Alimentício,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),12000.0
17,53.0,Masculino,SP,,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Serviços,1.0,Team Leader/Tech Leader,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,,Mais de 10 anos,Mais de 10 anos,"Ambiente e clima de trabalho, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% presencial,Modelo 100% remoto,6000.0
18,25.0,Masculino,SP,,Estudante de Graduação,Outras Engenharias,Empregado (CLT),Serviços,1.0,Supervisor/Coordenador,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Propósito do trabalho e da empresa",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido com dias fixos de trabalho presencial,8000.0
19,37.0,Masculino,SE,,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Empreendedor ou Empregado (CNPJ),Marketing,1.0,Supervisor/Coordenador,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Reputação que a empresa tem no mercado, Remuneração/Salário, Benefícios",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),8000.0
20,38.0,Masculino,DF,Sudeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,1.0,Team Leader/Tech Leader,,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Falta de maturidade analítica na empresa,Mais de 10 anos,Menos de 1 ano,"Remuneração/Salário, Propósito do trabalho e da empresa, Maturidade da empresa em termos de tecnologia e dados",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),20000.0
21,29.0,Masculino,GO,Norte,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Construção Civil,1.0,Supervisor/Coordenador,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,"Falta de maturidade analítica na empresa, Gostaria de receber mais benefícios",de 4 a 5 anos,Menos de 1 ano,"Remuneração/Salário, Propósito do trabalho e da empresa, Maturidade da empresa em termos de tecnologia e dados",Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),8000.0
22,46.0,Masculino,SC,,Mestrado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Finanças ou Bancos,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 12.001/mês a R$ 16.000/mês,"Gostaria de trabalhar em em outra área de atuação, Falta de maturidade analítica na empresa, Não tenho uma boa relação com meu líder/gestor",Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados, Qualidade dos gestores e líderes",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),16000.0
23,34.0,Masculino,SP,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Setor Público,1.0,Supervisor/Coordenador,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,Falta de maturidade analítica na empresa,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),8000.0
24,27.0,Masculino,RS,,Graduação/Bacharelado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Marketing,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% remoto,Modelo 100% remoto,6000.0
25,32.0,Feminino,SP,Sudeste,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,Acima de R$ 40.001/mês,,Mais de 10 anos,de 4 a 5 anos,Maturidade da empresa em termos de tecnologia e dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),45000.0
26,43.0,Masculino,SP,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Agronegócios,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,Falta de maturidade analítica na empresa,de 4 a 5 anos,de 6 a 10 anos,"Maturidade da empresa em termos de tecnologia e dados, Flexibilidade de trabalho remoto",Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),12000.0
27,34.0,Feminino,MG,,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Área da Saúde,1.0,Supervisor/Coordenador,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,"Falta de maturidade analítica na empresa, Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado",Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,12000.0
28,33.0,Feminino,MG,,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Educação,1.0,Team Leader/Tech Leader,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,"Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação",de 4 a 5 anos,de 2 a 3 anos,"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),8000.0
29,46.0,Masculino,SP,Sudeste,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),Finanças ou Bancos,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 25.001/mês a R$ 30.000/mês,,de 4 a 5 anos,de 2 a 3 anos,"Propósito do trabalho e da empresa, Ambiente e clima de trabalho, Remuneração/Salário",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),30000.0
30,43.0,Masculino,SP,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Agronegócios,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,Falta de maturidade analítica na empresa,de 4 a 5 anos,Mais de 10 anos,Flexibilidade de trabalho remoto,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),12000.0
31,38.0,Masculino,SP,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outro,1.0,Supervisor/Coordenador,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,"Falta de maturidade analítica na empresa, Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação",de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),6000.0
32,37.0,Masculino,,Sudeste,Graduação/Bacharelado,Outras,Servidor Público,Setor Público,1.0,Supervisor/Coordenador,,Gestor,de R$ 30.001/mês a R$ 40.000/mês,O clima de trabalho/ambiente não é bom,de 1 a 2 anos,Mais de 10 anos,"Remuneração/Salário, Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,40000.0
33,21.0,Masculino,SP,,Mestrado,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Finanças ou Bancos,1.0,Team Leader/Tech Leader,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Propósito do trabalho e da empresa, Remuneração/Salário, Reputação que a empresa tem no mercado",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),12000.0
34,30.0,Masculino,SP,,Pós-graduação,Outras Engenharias,Empregado (CLT),Consultoria,1.0,Team Leader/Tech Leader,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,,de 2 a 3 anos,Menos de 1 ano,"Remuneração/Salário, Qualidade dos gestores e líderes, Oportunidade de aprendizado e trabalhar com referências na área",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),12000.0
35,33.0,Masculino,SP,,Não tenho graduação formal,,Empregado (CLT),Finanças ou Bancos,1.0,Supervisor/Coordenador,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Plano de carreira e oportunidades de crescimento profissional, Benefícios, Remuneração/Salário",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),16000.0
36,32.0,Masculino,PR,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 20.001/mês a R$ 25.000/mês,,Mais de 10 anos,de 2 a 3 anos,Plano de carreira e oportunidades de crescimento profissional,Modelo 100% remoto,Modelo 100% remoto,25000.0
37,30.0,Feminino,SP,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Finanças ou Bancos,1.0,Team Leader/Tech Leader,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),12000.0
38,32.0,Masculino,PR,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,Supervisor/Coordenador,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,de 2 a 3 anos,Mais de 10 anos,"Flexibilidade de trabalho remoto, Remuneração/Salário, Propósito do trabalho e da empresa",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),16000.0
39,38.0,Masculino,SP,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Marketing,1.0,Gerente/Head/Diretor/VP,,Gestor,Acima de R$ 40.001/mês,,Não tenho experiência na área de dados,Mais de 10 anos,"Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área, Propósito do trabalho e da empresa",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,45000.0
40,54.0,Feminino,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Energia,1.0,Supervisor/Coordenador,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,Mais de 10 anos,de 1 a 2 anos,"Remuneração/Salário, Benefícios, Propósito do trabalho e da empresa",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),16000.0
41,33.0,Masculino,MG,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Consultoria,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,de 2 a 3 anos,de 6 a 10 anos,"Oportunidade de aprendizado e trabalhar com referências na área, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% remoto,Modelo 100% remoto,8000.0
42,26.0,Masculino,SC,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),16000.0
43,27.0,Masculino,MT,,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 16.001/mês a R$ 20.000/mês,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Propósito do trabalho e da empresa, Ambiente e clima de trabalho",Modelo 100% remoto,Modelo 100% remoto,20000.0
44,21.0,Masculino,SC,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,1.0,Supervisor/Coordenador,,Gestor,de R$ 1.001/mês a R$ 2.000/mês,,de 1 a 2 anos,de 1 a 2 anos,"Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),2000.0
45,21.0,Masculino,RS,,Não tenho graduação formal,,Empregado (CLT),Varejo,1.0,Supervisor/Coordenador,,Gestor,de R$ 2.001/mês a R$ 3000/mês,"Gostaria de trabalhar em em outra área de atuação, Falta de maturidade analítica na empresa",Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Propósito do trabalho e da empresa, Maturidade da empresa em termos de tecnologia e dados, Oportunidade de aprendizado e trabalhar com referências na área",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),3000.0
46,30.0,Masculino,SP,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,de 2 a 3 anos,de 4 a 5 anos,"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% remoto,Modelo 100% remoto,8000.0
47,35.0,Masculino,SP,,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),Entretenimento ou Esportes,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 16.001/mês a R$ 20.000/mês,,Menos de 1 ano,Menos de 1 ano,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% remoto,20000.0
48,49.0,Feminino,SP,,Graduação/Bacharelado,Ciências Sociais,Empreendedor ou Empregado (CNPJ),Outro,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,,Mais de 10 anos,Menos de 1 ano,"Remuneração/Salário, Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% remoto,Modelo híbrido com dias fixos de trabalho presencial,6000.0
49,34.0,Masculino,MG,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Internet/Ecommerce,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 16.001/mês a R$ 20.000/mês,,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Qualidade dos gestores e líderes",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),20000.0
50,47.0,Masculino,SP,,Mestrado,Ciências Biológicas/Farmácia/Medicina/Área da Saúde,Empregado (CLT),Área da Saúde,1.0,Supervisor/Coordenador,,Gestor,de R$ 3.001/mês a R$ 4.000/mês,"Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom",de 6 a 10 anos,Menos de 1 ano,"Remuneração/Salário, Qualidade dos gestores e líderes, Ambiente e clima de trabalho",Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),4000.0
51,28.0,Masculino,MG,,Mestrado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Finanças ou Bancos,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,de 6 a 10 anos,Menos de 1 ano,"Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados, Benefícios",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),8000.0
52,36.0,Masculino,MG,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Empreendedor ou Empregado (CNPJ),Consultoria,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 8.001/mês a R$ 12.000/mês,,Mais de 10 anos,Menos de 1 ano,"Propósito do trabalho e da empresa, Ambiente e clima de trabalho, Maturidade da empresa em termos de tecnologia e dados",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),12000.0
